Time	VALVE 179	LAG 382	LAG 386	VALVE 228
	POSITION	OUT	OUT	POSITION
		SIGNAL	SIGNAL	
				
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	0	0	0	0
32	0	0	0	0
33	0	0	0	0
34	0	0	0	0
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	0
94	0	0	0	0
95	0	0	0	0
96	0	0	0	0
97	0	0	0	0
98	0	0	0	0
99	0	0	0	0
100	0	0	0	0
101	0	0	0	0
102	20	0	0	0
103	20	0	0	0
104	20	0	0	0
105	20	0	0	0
106	20	0	0	0
107	20	0	0	0
108	20	0	0	10
109	20	0	0	10
110	20	0	0	10
111	20	0	0	10
112	20	0	0	10
113	20	0	0	10
114	20	0	0	10
115	20	0	0	10
116	20	0	0	10
117	20	0	0	10
118	20	0	0	10
119	20	0	0	10
120	20	0	0	10
121	20	0	0	10
122	20	0	0	10
123	20	0	0	10
124	20	0	0	10
125	20	0	0	10
126	20	0	0	10
127	20	0	0	10
128	20	0	0	10
129	20	0	0	10
130	20	0	0	10
131	20	0	0	10
132	20	0	0	10
133	20	0	0	10
134	20	0	0	10
135	20	0	0	10
136	20	0	0	10
137	20	0	0	10
138	20	0	0	10
139	20	0	0	10
140	20	0	0	10
141	20	0	0	10
142	20	0	0	10
143	20	0	0	10
144	20	0	0	10
145	20	0	0	10
146	20	0	0	10
147	20	0	0	10
148	20	0	0	10
149	20	0	0	10
150	20	0	0	10
151	20	0	0	10
152	20	0	0	10
153	20	0	0	10
154	20	0	0	10
155	20	0	0	10
156	20	0	0	10
157	20	0	0	10
158	20	0	0	10
159	20	0	0	10
160	20	0	0	10
161	20	0	0	10
162	20	0	0	10
163	20	0	0	10
164	20	0	0	10
165	20	0	0	10
166	20	0	0	10
167	20	0	0	10
168	20	0	0	10
169	20	0	0	10
170	20	0	0	10
171	20	0	0	10
172	20	0	0	10
173	20	0	0	10
174	20	0	0	10
175	20	0	0	10
176	20	0	0	10
177	20	0	0	10
178	20	0	0	10
179	20	0	0	10
180	20	0	0	10
181	20	0	0	10
182	20	0	0	10
183	20	0	0	10
184	20	0	0	10
185	20	0	0	10
186	20	0	0	10
187	20	0	0	10
188	20	0	0	10
189	20	0	0	10
190	20	0	0	10
191	20	0	0	10
192	20	0	0	10
193	20	0	0	10
194	20	0	0	10
195	20	0	0	10
196	20	0	0	10
197	20	0	0	10
198	20	0	0	10
199	20	0	0	10
200	20	0	0	10
201	20	0	0	10
202	20	0	0	10
203	20	0	0	10
204	20	0	0	10
205	20	0	0	10
206	20	0	0	10
207	20	0	0	10
208	20	20.5315	0	10
209	20	20.0599	0	10
210	20	19.8691	0	10
211	20	19.7755	0	10
212	20	19.7226	0	10
213	20	19.6894	0	10
214	20	19.6671	0	10
215	20	19.6511	0	10
216	20	19.6392	0	10
217	20	19.6301	0	10
218	20	19.623	0	10
219	20	19.6173	0	10
220	20	19.6126	0	10
221	20	19.6088	0	10
222	20	19.6056	0	10
