Time	VALVE 179	LAG 382	LAG 386	VALVE 228
	POSITION	OUT	OUT	POSITION
		SIGNAL	SIGNAL	
				
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	0	0	0	0
32	0	0	0	0
33	0	0	0	0
34	0	0	0	0
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0
66	0	0	0	0
67	0	0	0	0
68	0	0	0	0
69	0	0	0	0
70	0	0	0	0
71	0	0	0	0
72	0	0	0	0
73	0	0	0	0
74	0	0	0	0
75	0	0	0	0
76	0	0	0	0
77	0	0	0	0
78	0	0	0	0
79	0	0	0	0
80	0	0	0	0
81	0	0	0	0
82	0	0	0	0
83	0	0	0	0
84	0	0	0	0
85	0	0	0	0
86	0	0	0	0
87	0	0	0	0
88	0	0	0	0
89	0	0	0	0
90	0	0	0	0
91	0	0	0	0
92	0	0	0	0
93	0	0	0	0
94	0	0	0	0
95	0	0	0	0
96	0	0	0	0
97	0	0	0	0
98	0	0	0	0
99	0	0	0	0
100	0	0	0	0
101	0	0	0	0
102	0	0	0	0
103	0	0	0	0
104	0	0	0	0
105	0	0	0	0
106	0	0	0	0
107	0	0	0	0
108	0	0	0	0
109	0	0	0	0
110	0	0	0	0
111	0	0	0	0
112	0	0	0	0
113	0	0	0	0
114	0	0	0	0
115	0	0	0	0
116	0	0	0	0
117	0	0	0	0
118	0	0	0	0
119	0	0	0	0
120	0	0	0	0
121	0	0	0	0
122	0	0	0	0
123	0	0	0	0
124	0	0	0	0
125	0	0	0	0
126	0	0	0	0
127	0	0	0	0
128	0	0	0	0
129	0	0	0	0
130	0	0	0	0
131	0	0	0	0
132	0	0	0	0
133	0	0	0	0
134	0	0	0	0
135	0	0	0	0
136	0	0	0	0
137	0	0	0	0
138	0	0	0	0
139	0	0	0	0
140	0	0	0	0
141	0	0	0	0
142	0	0	0	0
143	0	0	0	0
144	0	0	0	0
145	20	0	0	0
146	20	0	0	0
147	20	0	0	0
148	20	0	0	0
149	20	0	0	0
150	20	0	0	0
151	20	0	0	0
152	20	0	0	0
153	20	0	0	0
154	20	15.0047	0	0
155	20	15.0047	0	0
156	20	15.0047	0	0
157	20	15.0047	0	0
158	20	15.0047	0	0
159	20	15.0047	0	0
160	20	15.0047	0	0
161	20	15.0047	0	0
162	20	15.0047	0	0
163	20	15.0047	0	0
164	20	15.0047	0	0
165	20	15.0047	0	0
166	20	15.0047	0	0
167	20	15.4422	0	0
168	20	15.8102	0	0
169	20	16.1216	0	0
170	20	16.3865	0	0
171	20	16.6166	0	0
172	20	16.8226	0	0
173	20	17.007	0	0
174	20	17.172	0	0
175	20	17.3198	0	0
176	20	17.452	0	0
177	20	17.5704	0	0
178	20	17.6764	0	0
179	20	17.7713	0	0
180	20	17.8562	0	0
181	20	17.9323	0	0
182	20	18.0003	0	0
183	20	18.0612	0	0
184	20	18.1158	0	0
185	20	18.1646	0	0
186	20	18.2083	0	0
187	20	18.2474	0	0
188	20	18.2824	0	0
189	20	18.3138	0	0
190	20	18.3418	0	0
191	20	18.3669	0	0
192	20	18.3894	0	0
193	20	18.4096	0	0
194	20	18.4276	0	0
195	20	18.4437	0	0
196	20	18.4581	0	0
197	20	18.4711	0	0
198	20	18.4826	0	0
199	20	18.493	17.1221	0
200	20	18.5023	17.1406	0
201	20	18.5106	17.1589	0
202	20	18.518	17.1771	0
203	20	18.5246	17.1953	0
204	20	18.5306	17.2135	0
205	20	18.5359	17.2316	0
206	20	18.5407	17.2496	0
207	20	18.545	17.2676	0
208	20	18.5488	17.2854	0
209	20	18.5522	17.3032	0
210	20	18.5553	17.3208	0
211	20	18.558	17.3383	0
212	20	18.5605	17.3557	0
213	20	18.5627	17.3729	0
214	20	18.5646	17.39	0
215	20	18.5664	17.4069	0
216	20	18.5679	17.4237	0
217	20	18.5694	17.4403	0
218	20	18.5706	17.4568	0
219	20	18.5717	17.4731	0
220	20	18.5728	17.4892	0
221	20	18.5737	17.5051	0
222	20	18.5745	17.5209	0
223	20	18.5752	17.5367	0
224	20	18.5758	17.5527	0
225	20	18.5764	17.569	0
226	20	18.577	17.5854	0
227	20	18.5774	17.602	0
228	20	18.5778	17.6187	0
229	20	18.5782	17.6354	0
230	20	18.5785	17.6522	0
231	20	18.5788	17.6689	0
232	20	18.5791	17.6857	0
233	20	18.5794	17.7023	0
234	20	18.5796	17.719	0
235	20	18.5798	17.7355	0
236	20	18.5799	17.7519	0
237	20	18.5801	17.7682	0
238	20	18.5802	17.7844	0
239	20	18.5803	17.8004	0
240	20	18.5805	17.8162	0
241	20	18.5806	17.8319	0
242	20	18.5806	17.8474	0
243	20	18.5807	17.8626	0
244	20	18.5808	17.8777	0
245	20	18.5809	17.8926	0
246	20	18.5809	17.9073	0
247	20	18.581	17.9217	0
248	20	18.581	17.936	0
249	20	18.5811	17.95	0
250	20	18.5811	17.9638	0
251	20	18.5811	17.9773	0
252	20	18.5812	17.9907	0
253	20	18.5812	18.0038	0
254	20	18.5812	18.0166	0
255	20	18.5812	18.0293	0
256	20	18.5812	18.0417	0
257	20	18.5813	18.0539	0
258	20	18.5813	18.0658	0
259	20	18.5813	18.0775	0
260	20	18.5813	18.089	0
261	20	18.5813	18.1003	0
262	20	18.5813	18.1113	0
