Time	VALVE 179	LAG 382	LAG 386	VALVE 228
	POSITION	OUT	OUT	POSITION
		SIGNAL	SIGNAL	
				
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	18.0047	0	0
24	0	18.0047	0	0
25	0	18.0047	0	0
26	0	18.0047	0	0
27	0	18.0047	0	0
28	0	18.0047	0	0
29	0	18.0047	0	0
30	0	18.0047	0	0
31	0	18.0047	0	0
32	0	18.0047	0	0
33	0	18.0047	0	0
34	0	18.0047	0	0
35	0	18.0047	0	0
36	0	18.0047	0	0
37	0	18.0047	0	0
38	0	18.0047	0	0
39	0	18.0047	0	0
40	0	18.0047	0	0
41	0	18.0047	0	0
42	0	18.0047	0	0
43	0	18.0047	0	0
44	0	18.0047	0	0
45	0	18.0047	0	0
46	0	18.0047	0	0
47	0	18.0047	0	0
48	0	18.0047	0	0
49	0	18.0047	0	0
50	0	18.0047	0	0
51	0	18.0047	0	0
52	0	18.0047	0	0
53	0	18.0047	0	0
54	0	18.0047	0	0
55	0	18.0047	0	0
56	0	18.0047	0	0
57	0	18.0047	0	0
58	0	18.0047	0	0
59	0	18.0047	0	0
60	0	18.0047	0	0
61	0	18.0047	0	0
62	0	18.0047	0	0
63	0	18.0047	0	0
64	0	18.0047	0	0
65	20	18.0047	0	0
66	20	18.0047	0	0
67	20	18.0047	0	0
68	20	18.0047	0	0
69	20	18.0047	0	0
70	20	18.0047	0	0
71	20	18.0047	0	0
72	20	18.0047	0	0
73	20	18.0047	0	0
74	20	18.0047	0	0
75	20	18.0047	0	0
76	20	18.0047	0	0
77	20	18.0047	0	0
78	20	18.0047	0	0
79	20	18.0047	0	0
80	20	18.0047	0	0
81	20	18.0047	0	0
82	20	18.0047	0	0
83	20	18.0047	0	0
84	20	18.0047	18.0071	0
85	20	18.0047	18.0071	0
86	20	18.0047	18.0071	0
87	20	18.464	18.0071	0
88	20	18.8806	18.0095	0
89	20	19.2569	18.0151	0
90	20	19.5958	18.024	0
91	20	19.9014	18.0361	0
92	20	20.1771	18.0513	0
93	20	20.4257	18.0695	0
94	20	20.6498	18.0904	0
95	20	20.8518	18.1139	0
96	20	21.0337	18.1399	0
97	20	21.1976	18.1681	0
98	20	21.345	18.1984	0
99	20	21.4776	18.2306	0
100	20	21.5967	18.2646	0
101	20	21.7036	18.3002	0
102	20	21.7995	18.3373	0
103	20	21.8853	18.3758	0
104	20	21.9624	18.4155	0
105	20	22.0319	18.4563	0
106	20	22.0943	18.4981	0
107	20	22.1501	18.5407	0
108	20	22.1998	18.5845	0
109	20	22.2439	18.6301	0
110	20	22.2828	18.6775	0
111	20	22.3169	18.7265	0
112	20	22.3467	18.7769	0
113	20	22.3723	18.8285	0
114	20	22.3943	18.8812	0
115	20	22.4129	18.9349	0
116	20	22.4283	18.9893	0
117	20	22.4408	19.0445	0
118	20	22.4507	19.1002	0
119	20	22.4582	19.1563	0
120	20	22.4635	19.2128	0
121	20	22.4668	19.2694	0
122	20	22.4682	19.3261	0
123	20	22.468	19.3829	0
124	20	22.4663	19.4396	0
125	20	22.4632	19.4961	0
126	20	22.4588	19.5523	0
127	20	22.4533	19.6082	0
128	20	22.4469	19.6638	0
129	20	22.4395	19.7188	0
130	20	22.4313	19.7734	0
131	20	22.4223	19.8274	0
132	20	22.4127	19.8807	0
133	20	22.4026	19.9334	0
134	20	22.3919	19.9854	0
135	20	22.3808	20.0367	0
136	20	22.3692	20.0871	0
137	20	22.3574	20.1368	0
138	20	22.3452	20.1856	0
139	20	22.3328	20.2336	0
140	20	22.3201	20.2806	0
141	20	22.3073	20.3268	0
142	20	22.2943	20.3721	0
143	20	22.2812	20.4165	0
144	20	22.2681	20.4599	0
145	20	22.2548	20.5024	0
146	20	22.2415	20.5439	0
147	20	22.2282	20.5845	0
148	20	22.2148	20.6241	0
149	20	22.2015	20.6628	0
150	20	22.1882	20.7005	0
151	20	22.1749	20.7373	0
152	20	22.1617	20.7731	0
153	20	22.1485	20.808	0
154	20	22.1354	20.8419	0
155	20	22.1223	20.8749	0
156	20	22.1093	20.907	0
157	20	22.0965	20.9382	0
158	20	22.0837	20.9685	0
159	20	22.071	20.9979	0
160	20	22.0584	21.0265	0
161	20	22.0459	21.0541	0
162	20	22.0335	21.0809	0
163	20	22.0212	21.1069	0
164	20	22.0091	21.1321	0
165	20	21.997	21.1564	0
166	20	21.9851	21.1799	0
167	20	21.9733	21.2027	0
168	20	21.9616	21.2246	0
169	20	21.95	21.2458	0
170	20	21.9385	21.2663	0
171	20	21.9272	21.2861	0
172	20	21.916	21.3051	0
173	20	21.9048	21.3234	0
174	20	21.8938	21.3411	0
175	20	21.883	21.358	0
176	20	21.8722	21.3743	0
177	20	21.8615	21.39	0
178	20	21.851	21.4051	0
179	20	21.8406	21.4195	0
180	20	21.8303	21.4334	0
181	20	21.8201	21.4466	0
182	20	21.81	21.4593	0
183	20	21.8	21.4715	0
184	20	21.7901	21.4831	0
185	20	21.7803	21.4941	0
186	20	21.7707	21.5047	0
187	20	21.7611	21.5147	0
188	20	21.7516	21.5243	0
189	20	21.7423	21.5334	0
190	20	21.733	21.542	0
191	20	21.7239	21.5502	0
192	20	21.7148	21.5579	0
193	20	21.7058	21.5652	0
194	20	21.6969	21.5721	0
195	20	21.6882	21.5786	0
196	20	21.6795	21.5847	0
197	20	21.6709	21.5904	0
198	20	21.6623	21.5957	0
199	20	21.654	21.6007	0
200	20	21.6465	21.6053	0
201	20	21.6397	21.6096	0
202	20	21.6336	21.6136	0
203	20	21.6281	21.6172	0
204	20	21.6232	21.6206	0
205	20	21.6188	21.6237	0
206	20	21.6149	21.6264	0
207	20	21.6114	21.629	0
208	20	21.6082	21.6313	0
209	20	21.6054	21.6333	0
210	20	21.6029	21.6351	0
211	20	21.6006	21.6368	0
212	20	21.5986	21.6382	0
213	20	21.5968	21.6394	0
214	20	21.5951	21.6405	0
215	20	21.5937	21.6414	0
216	20	21.5924	21.6421	0
217	20	21.5912	21.6428	0
218	20	21.5902	21.6432	0
219	20	21.5892	21.6436	0
220	20	21.5884	21.6438	0
221	20	21.5877	21.644	0
222	20	21.587	21.644	0
223	20	21.5864	21.644	0
224	20	21.5859	21.6438	0
225	20	21.5854	21.6436	0
226	20	21.585	21.6433	0
227	20	21.5846	21.643	0
228	20	21.5842	21.6426	0
229	20	21.5839	21.6421	0
230	20	21.5836	21.6416	0
231	20	21.5834	21.6411	0
232	20	21.5832	21.6405	0
233	20	21.583	21.6399	0
234	20	21.5828	21.6392	0
235	20	21.5826	21.6385	0
236	20	21.5825	21.6378	0
237	20	21.5824	21.6371	0
238	20	21.5823	21.6363	0
239	20	21.5822	21.6356	0
240	20	21.5821	21.6348	0
241	20	21.582	21.634	0
242	20	21.5819	21.6332	0
243	20	21.5818	21.6324	0
244	20	21.5818	21.6316	0
245	20	21.5817	21.6307	0
246	20	21.5817	21.6299	0
247	20	21.5816	21.6291	0
248	20	21.5816	21.6283	0
249	20	21.5816	21.6275	0
250	20	21.5815	21.6267	0
251	20	21.5815	21.6258	0
252	20	21.5815	21.625	0
