Time	VALVE 179	LAG 382	LAG 386	VALVE 228
	POSITION	OUT	OUT	POSITION
		SIGNAL	SIGNAL	
				
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	0	0	0	0
6	0	0	0	0
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	0	0
21	0	0	0	0
22	0	0	0	0
23	0	0	0	0
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	0	0
30	0	0	0	0
31	0	0	0	0
32	0	0	0	0
33	0	0	0	0
34	0	0	0	0
35	0	0	0	0
36	0	0	0	0
37	0	0	0	0
38	0	0	0	0
39	0	0	0	0
40	0	0	0	0
41	0	0	0	0
42	0	0	0	0
43	0	0	0	0
44	0	0	0	0
45	0	0	0	0
46	0	0	0	0
47	0	0	0	0
48	0	0	0	0
49	0	0	0	0
50	5	0	0	0
51	5	0	0	0
52	5	0	0	0
53	5	0	0	0
54	5	0	0	0
55	5	0	0	0
56	5	0	0	3
57	5	0	0	3
58	5	0	0	3
59	5	0	0	3
60	5	0	0	3
61	5	0	0	3
62	5	0	0	3
63	5	0	0	3
64	5	0	0	3
65	5	0	0	3
66	5	0	0	3
67	5	0	0	3
68	5	0	0	3
69	5	0	0	3
70	5	0	0	3
71	5	0	0	3
72	5	0	0	3
73	5	0	0	3
74	5	0	0	3
75	5	0	0	3
76	5	0	0	3
77	5	0	0	3
78	5	0	0	3
79	5	0	0	3
80	5	0	0	3
81	5	0	0	3
82	5	0	0	3
83	5	0	0	3
84	5	0	0	3
85	5	0	0	3
86	5	0	0	3
87	5	0	0	3
88	5	0	0	3
89	5	0	0	3
90	5	0	0	3
91	5	0	0	3
92	5	0	0	3
93	5	0	0	3
94	5	0	0	3
95	5	0	0	3
96	5	0	0	3
97	5	0	0	3
98	5	0	0	3
99	5	0	0	3
100	5	0	0	3
101	5	0	0	3
102	5	0	0	3
103	5	0	0	3
104	5	0	0	3
105	5	0	0	3
106	5	0	0	3
107	5	0	0	3
108	5	0	0	3
109	20	0	0	3
110	20	0	0	3
111	20	0	0	3
112	20	0	0	3
113	20	0	0	3
114	20	0	0	3
115	20	0	0	3
116	20	0	0	3
117	20	0	0	3
118	20	0	0	3
119	20	0	0	3
120	20	0	0	3
121	20	0	0	3
122	20	0	0	3
123	20	9.70688	0	3
124	20	9.6547	0	3
125	20	9.6467	0	3
126	20	9.65192	0	3
127	20	9.66934	0	3
128	20	9.69139	0	3
129	20	9.71727	0	3
130	20	9.7434	0	3
131	20	10.2716	0	3
132	20	10.6853	0	3
133	20	11.0174	0	3
134	20	11.2903	0	3
135	20	11.5193	0	3
136	20	11.7148	0	3
137	20	11.8843	0	3
138	20	12.0334	0	3
139	20	12.1662	0	3
140	20	12.2871	0	3
141	20	12.4009	0	3
142	20	12.5084	0	3
143	20	12.6101	0	3
144	20	12.7068	0	3
145	20	12.7989	0	3
146	20	12.887	0	3
147	20	12.9714	0	3
148	20	13.0526	0	3
149	20	13.1308	0	3
150	20	13.2064	0	3
151	20	13.2796	0	3
152	20	13.3506	0	3
153	20	13.4197	0	3
154	20	13.4871	0	3
155	20	13.5528	0	3
156	20	13.6171	0	3
157	20	13.6801	0	3
158	20	13.7418	0	3
159	20	13.8024	0	3
160	20	13.8619	0	3
161	20	13.9205	0	3
162	20	13.9782	0	3
163	20	14.035	0	3
164	20	14.0911	0	3
165	20	14.1464	0	3
166	20	14.2009	0	3
167	20	14.2549	0	3
168	20	14.3081	11.7696	3
169	20	14.3608	11.8138	3
170	20	14.4128	11.842	3
171	20	14.4643	11.867	3
172	20	14.5152	11.8909	3
173	20	14.5655	11.9143	3
174	20	14.6154	11.9376	3
175	20	14.6647	11.961	3
176	20	14.7135	11.9844	3
177	20	14.7618	12.008	3
178	20	14.8096	12.0317	3
179	20	14.8569	12.0556	3
180	20	14.9037	12.0797	3
181	20	14.95	12.104	3
182	20	14.9959	12.1285	3
183	20	15.0413	12.1531	3
184	20	15.0862	12.1779	3
185	20	15.1307	12.2029	3
186	20	15.1747	12.2281	3
187	20	15.2182	12.2534	3
188	20	15.2613	12.2789	3
189	20	15.3039	12.3045	3
190	20	15.3461	12.3302	3
191	20	15.3878	12.3561	3
192	20	15.4291	12.3824	3
193	20	15.4699	12.4096	3
194	20	15.5103	12.4376	3
195	20	15.5502	12.4663	3
196	20	15.5897	12.4958	3
197	20	15.6288	12.5259	3
198	20	15.6674	12.5566	3
199	20	15.7056	12.5878	3
200	20	15.7433	12.6196	3
201	20	15.7806	12.6518	3
202	20	15.8175	12.6845	3
203	20	15.854	12.7176	3
204	20	15.8901	12.751	3
205	20	15.9257	12.7848	3
206	20	15.9609	12.8188	3
207	20	15.9957	12.8531	3
208	20	16.0301	12.8877	3
209	20	16.0641	12.9225	3
210	20	16.0976	12.9574	3
211	20	16.1308	12.9926	3
212	20	16.1636	13.0279	3
213	20	16.1959	13.0632	3
214	20	16.2279	13.0987	3
215	20	16.2595	13.1343	3
216	20	16.2907	13.17	3
217	20	16.3215	13.2057	3
218	20	16.3519	13.2414	3
219	20	16.382	13.2771	3
220	20	16.4117	13.3128	3
221	20	16.441	13.3486	3
222	20	16.4699	13.3843	3
223	20	16.4985	13.4199	3
224	20	16.5267	13.4555	3
225	20	16.5546	13.4911	3
226	20	16.5821	13.5265	3
227	20	16.6092	13.5619	3
228	20	16.636	13.5972	3
229	20	16.6625	13.6324	3
230	20	16.6886	13.6675	3
231	20	16.7144	13.7024	3
232	20	16.7398	13.7373	3
233	20	16.765	13.7719	3
234	20	16.7898	13.8065	3
235	20	16.8142	13.8409	3
236	20	16.8384	13.8752	3
237	20	16.8622	13.9092	3
238	20	16.8857	13.9432	3
239	20	16.909	13.9769	3
240	20	16.9319	14.0105	3
241	20	16.9545	14.0439	3
242	20	16.9768	14.0771	3
243	20	16.9988	14.1101	3
244	20	17.0205	14.1429	3
245	20	17.042	14.1756	3
246	20	17.0631	14.208	3
247	20	17.084	14.2402	3
248	20	17.1046	14.2722	3
249	20	17.1249	14.304	3
250	20	17.145	14.3356	3
251	20	17.1648	14.367	3
252	20	17.1843	14.3981	3
253	20	17.2035	14.4291	3
254	20	17.2225	14.4598	3
255	20	17.2413	14.4903	3
256	20	17.2598	14.5205	3
257	20	17.278	14.5506	3
258	20	17.296	14.5804	3
259	20	17.3137	14.61	3
260	20	17.3313	14.6393	3
261	20	17.3485	14.6684	3
262	20	17.3656	14.6973	3
263	20	17.3824	14.726	3
264	20	17.399	14.7544	3
265	20	17.4153	14.7826	3
266	20	17.4315	14.8105	3
267	20	17.4474	14.8382	3
268	20	17.4631	14.8657	3
269	20	17.4786	14.8929	3
270	20	17.4938	14.9199	3
271	20	17.5089	14.9467	3
272	20	17.5238	14.9732	3
273	20	17.5384	14.9995	3
274	20	17.5529	15.0255	3
275	20	17.5671	15.0514	3
276	20	17.5812	15.0769	3
277	20	17.5951	15.1023	3
278	20	17.6087	15.1274	3
279	20	17.6222	15.1523	3
280	20	17.6355	15.1769	3
281	20	17.6487	15.2013	3
282	20	17.6616	15.2255	3
283	20	17.6744	15.2495	3
284	20	17.687	15.2732	3
285	20	17.6994	15.2966	3
286	20	17.7117	15.3199	3
287	20	17.7237	15.3429	3
288	20	17.7356	15.3657	3
289	20	17.7474	15.3883	3
290	20	17.759	15.4106	3
291	20	17.7704	15.4328	3
292	20	17.7817	15.4547	3
