Time	#4 Tank Shape = vertical	VALVE 339
	OUT1	POSITION
	TEMPERATURE	
	`C	
18.18	35.4896	50
18.19	35.4896	50
18.2	35.4896	50
18.21	35.4896	50
18.22	35.4896	50
18.23	35.4896	50
18.24	35.4896	50
18.25	35.4896	50
18.26	35.4896	50
18.27	35.4896	50
18.28	35.4896	50
18.29	35.4896	50
18.3	35.4896	50
18.31	35.4896	50
18.32	35.4896	50
18.33	35.4896	50
18.34	35.4896	50
18.35	35.4896	50
18.36	35.4896	50
18.37	35.4896	50
18.38	35.4896	50
18.39	35.4896	50
18.4	35.4896	50
18.41	35.4896	50
18.42	35.4896	50
18.43	35.4896	50
18.44	35.4896	50
18.45	35.4896	50
18.46	35.4896	50
18.47	35.4896	50
18.48	35.4896	50
18.49	35.4896	50
18.5	35.4896	50
18.51	35.4896	50
18.52	35.4896	50
18.53	35.4896	50
18.54	35.4896	50
18.55	35.4896	50
18.56	35.4896	50
18.57	35.4896	50
18.58	35.4896	50
18.59	35.4896	50
18.6	35.4896	50
18.61	35.4896	50
18.62	35.4896	50
18.63	35.4896	50
18.64	35.4896	50
18.65	35.4896	50
18.66	35.4896	50
18.67	35.4896	50
18.68	35.4896	50
18.69	35.4896	50
18.7	35.4896	50
18.71	35.4896	50
18.72	35.4896	50
18.73	35.4896	50
18.74	35.4896	50
18.75	35.4896	50
18.76	35.4896	50
18.77	35.4896	50
18.78	35.4896	50
18.79	35.4896	50
18.8	35.4896	50
18.81	35.4896	50
18.82	35.4896	50
18.83	35.4896	50
18.84	35.4896	50
18.85	35.4896	50
18.86	35.4896	50
18.87	35.4896	50
18.88	35.4896	50
18.89	35.4896	50
18.9	35.4896	50
18.91	35.4896	50
18.92	35.4896	50
18.93	35.4896	50
18.94	35.4896	50
18.95	35.4896	50
18.96	35.4896	50
18.97	35.4896	50
18.98	35.4896	50
18.99	35.4896	50
19	35.4896	50
19.01	35.4896	50
19.02	35.4896	50
19.03	35.4896	50
19.04	35.4896	50
19.05	35.4896	50
19.06	35.4896	50
19.07	35.4896	50
19.08	35.4896	50
19.09	35.4896	50
19.1	35.4896	50
19.11	35.4896	50
19.12	35.4896	50
19.13	35.4896	50
19.14	35.4896	50
19.15	35.4896	50
19.16	35.4896	50
19.17	35.4896	50
19.18	35.4896	50
19.19	35.4896	50
19.2	35.4896	50
19.21	35.4896	50
19.22	35.4896	50
19.23	35.4896	50
19.24	35.4896	50
19.25	35.4896	50
19.26	35.4896	50
19.27	35.4896	50
19.28	35.4896	50
19.29	35.4896	50
19.3	35.4896	50
19.31	35.4896	50
19.32	35.4896	50
19.33	35.4896	50
19.34	35.4896	50
19.35	35.4896	50
