Time	VALVE 368	#5 Tank shape = vertical
	POSITION	OUT1
		TEMPERATURE
		`C
0.02	50	13.4414
0.03	50	38.7655
0.04	50	47.2068
0.05	50	47.2068
0.06	50	47.2068
0.07	50	47.2068
0.08	50	47.2068
0.09	50	47.2068
0.1	50	47.2068
0.11	50	47.2068
0.12	50	47.2068
0.13	50	47.2068
0.14	50	47.2068
0.15	50	47.2068
0.16	50	47.2068
0.17	50	47.2068
0.18	50	47.2068
0.19	50	47.2068
0.2	50	47.2068
0.21	50	47.2068
0.22	50	47.2068
0.23	50	47.2068
0.24	50	47.2068
0.25	50	47.2068
0.26	50	47.2068
0.27	50	47.2068
0.28	50	47.2068
0.29	50	47.2068
0.3	50	47.2068
0.31	50	47.2068
0.32	50	47.2068
0.33	50	47.2068
0.34	50	47.2068
0.35	50	47.2068
0.36	50	47.2068
0.37	50	47.2068
0.38	50	47.2068
0.39	50	47.2068
0.4	50	47.2068
0.41	50	47.2068
0.42	50	47.2068
0.43	50	47.2068
0.44	50	47.2068
0.45	50	47.2068
0.46	50	47.2068
0.47	50	47.2068
0.48	50	47.2068
0.49	50	47.2068
0.5	50	47.2068
0.51	50	47.2068
0.52	50	47.2068
0.53	50	47.2068
0.54	50	47.2068
0.55	50	47.2068
0.56	50	47.2068
0.57	50	47.2068
0.58	50	47.2068
0.59	50	47.2068
0.6	50	47.2068
0.61	50	47.2068
0.62	50	47.2068
0.63	50	47.2068
0.64	50	47.2068
0.65	50	47.2068
0.66	50	47.2068
0.67	50	47.2068
0.68	50	47.2068
0.69	50	47.2068
0.7	50	47.2068
0.71	50	47.2068
0.72	50	47.2068
0.73	50	47.2068
0.74	50	47.2068
0.75	50	47.2068
0.76	50	47.2068
0.77	50	47.2068
0.78	50	47.2068
0.79	50	47.2068
0.8	50	47.2068
0.81	50	47.2068
0.82	50	47.2068
0.83	50	47.2068
0.84	50	47.2068
0.85	50	47.2068
0.86	50	47.2068
0.87	50	47.2068
0.88	50	47.2068
0.89	50	47.2068
0.9	50	47.2068
0.91	50	47.2068
0.92	50	47.2068
0.93	50	47.2068
0.94	50	47.2068
0.95	50	47.2068
0.96	50	47.2068
0.97	50	47.2068
0.98	50	47.2068
0.99	50	47.2068
1	50	47.2068
1.01	50	47.2068
1.02	50	47.2068
1.03	50	47.2068
1.04	50	47.2068
1.05	50	47.2068
1.06	50	47.2068
1.07	50	47.2068
1.08	50	47.2068
1.09	50	47.2068
1.1	50	47.2068
1.11	50	47.2068
1.12	50	47.2068
1.13	50	47.2068
1.14	50	47.2068
1.15	50	47.2068
1.16	50	47.2068
1.17	50	47.2068
1.18	50	47.2068
1.19	50	47.2068
1.2	50	47.2068
