Time	tank shape = vertical	VALVE 172
	LEVEL	POSITION
		
		
0.02	0.020621	50
0.03	0.082484	50
0.04	0.144252	50
0.05	0.205974	50
0.06	0.267591	50
0.07	0.329177	50
0.08	0.390698	50
0.09	0.452166	50
0.1	0.513607	50
0.11	0.574978	50
0.12	0.636325	50
0.13	0.697626	50
0.14	0.758886	50
0.15	0.820124	50
0.16	0.881305	50
0.17	0.942468	50
0.18	1.00359	50
0.19	1.06469	50
0.2	1.12576	50
0.21	1.18678	50
0.22	1.24779	50
0.23	1.30876	50
0.24	1.3697	50
0.25	1.43063	50
0.26	1.49151	50
0.27	1.55238	50
0.28	1.61322	50
0.29	1.67403	50
0.3	1.73483	50
0.31	1.79559	50
0.32	1.85633	50
0.33	1.91705	50
0.34	1.97774	50
0.35	2.03842	50
0.36	2.09906	50
0.37	2.15969	50
0.38	2.2203	50
0.39	2.28088	50
0.4	2.34145	50
0.41	2.40198	50
0.42	2.46244	50
0.43	2.52273	50
0.44	2.58215	50
0.45	2.64113	50
0.46	2.69887	50
0.47	2.7562	50
0.48	2.81273	50
0.49	2.86849	50
0.5	2.92388	50
0.51	2.97816	50
0.52	3.03209	50
0.53	3.08531	50
0.54	3.13785	50
0.55	3.19004	50
0.56	3.23336	50
0.57	3.27659	50
0.58	3.31966	50
0.59	3.36256	50
0.6	3.40537	50
0.61	3.44793	50
0.62	3.4904	50
0.63	3.53271	50
0.64	3.57486	50
0.65	3.61693	50
0.66	3.65877	50
0.67	3.70054	50
0.68	3.74216	50
0.69	3.78363	50
0.7	3.82501	50
0.71	3.86617	50
0.72	3.90725	50
0.73	3.94818	50
0.74	3.98896	50
0.75	4.02966	50
0.76	4.07017	50
0.77	4.1106	50
0.78	4.15088	50
0.79	4.19102	50
0.8	4.23109	50
0.81	4.27095	50
0.82	4.31073	50
0.83	4.35038	50
0.84	4.3899	50
0.85	4.42935	50
0.86	4.4686	50
0.87	4.50779	50
0.88	4.54683	50
0.89	4.58575	50
0.9	4.6246	50
0.91	4.66326	50
0.92	4.70185	50
0.93	4.74032	50
0.94	4.77866	50
0.95	4.81693	50
0.96	4.85501	50
0.97	4.89302	50
0.98	4.93092	50
0.99	4.96869	50
1	5.00641	50
1.01	5.04395	50
1.02	5.08142	50
1.03	5.11876	50
1.04	5.15599	50
1.05	5.19315	50
1.06	5.23015	50
1.07	5.2671	50
1.08	5.30392	50
1.09	5.34063	50
1.1	5.37727	50
1.11	5.41375	50
1.12	5.45017	50
1.13	5.48647	50
1.14	5.52267	50
1.15	5.5588	50
1.16	5.59478	50
1.17	5.63071	50
1.18	5.66652	50
1.19	5.70222	50
1.2	5.73786	50
1.21	5.77334	50
1.22	5.80877	50
1.23	5.8441	50
1.24	5.87933	50
1.25	5.9145	50
1.26	5.9495	50
1.27	5.98446	50
1.28	6.0193	50
1.29	6.05406	50
1.3	6.08877	50
1.31	6.12332	50
1.32	6.15782	50
1.33	6.19221	50
1.34	6.2265	50
1.35	6.26074	50
1.36	6.29484	50
1.37	6.3289	50
1.38	6.36285	50
1.39	6.3967	50
1.4	6.4305	50
1.41	6.46416	50
1.42	6.49777	50
1.43	6.53129	50
1.44	6.56471	50
1.45	6.59809	50
1.46	6.63132	50
1.47	6.6645	50
1.48	6.69758	50
1.49	6.73058	50
1.5	6.76354	50
1.51	6.79636	50
1.52	6.82913	50
1.53	6.86181	50
1.54	6.89439	50
1.55	6.92692	50
1.56	6.95934	50
1.57	6.9917	50
1.58	7.02398	50
1.59	7.05617	50
1.6	7.0883	50
1.61	7.12031	50
1.62	7.15227	50
1.63	7.18416	50
